2026-04-17 01:55:02 | INFO    | bristlenose.llm.client | llm_request | provider=anthropic | model=claude-sonnet-4-20250514 | elapsed_ms=4515 | schema=SpeakerSplitAssignment
2026-04-17 01:55:05 | INFO    | bristlenose.llm.client | llm_request | provider=anthropic | model=claude-sonnet-4-20250514 | elapsed_ms=7167 | schema=SpeakerSplitAssignment
2026-04-17 01:55:05 | INFO    | bristlenose.llm.client | llm_request | provider=anthropic | model=claude-sonnet-4-20250514 | elapsed_ms=2827 | schema=SpeakerSplitAssignment
2026-04-17 01:55:07 | INFO    | bristlenose.llm.client | llm_request | provider=anthropic | model=claude-sonnet-4-20250514 | elapsed_ms=9111 | schema=SpeakerSplitAssignment
2026-04-17 01:55:10 | INFO    | bristlenose.llm.client | llm_request | provider=anthropic | model=claude-sonnet-4-20250514 | elapsed_ms=4808 | schema=SpeakerSplitAssignment
2026-04-17 01:55:10 | INFO    | bristlenose.llm.client | llm_request | provider=anthropic | model=claude-sonnet-4-20250514 | elapsed_ms=3277 | schema=SpeakerSplitAssignment
2026-04-17 01:55:12 | INFO    | bristlenose.llm.client | llm_request | provider=anthropic | model=claude-sonnet-4-20250514 | elapsed_ms=7160 | schema=SpeakerSplitAssignment
2026-04-17 01:55:13 | INFO    | bristlenose.llm.client | llm_request | provider=anthropic | model=claude-sonnet-4-20250514 | elapsed_ms=3683 | schema=SpeakerSplitAssignment
2026-04-17 01:55:14 | INFO    | bristlenose.llm.client | llm_request | provider=anthropic | model=claude-sonnet-4-20250514 | elapsed_ms=3680 | schema=SpeakerSplitAssignment
2026-04-17 01:55:17 | INFO    | bristlenose.llm.client | llm_request | provider=anthropic | model=claude-sonnet-4-20250514 | elapsed_ms=5014 | schema=SpeakerSplitAssignment
2026-04-17 01:55:22 | INFO    | bristlenose.llm.client | llm_request | provider=anthropic | model=claude-sonnet-4-20250514 | elapsed_ms=4854 | schema=SpeakerRoleAssignment
2026-04-17 01:55:22 | INFO    | bristlenose.llm.client | llm_request | provider=anthropic | model=claude-sonnet-4-20250514 | elapsed_ms=5185 | schema=SpeakerRoleAssignment
2026-04-17 01:55:22 | INFO    | bristlenose.llm.client | llm_request | provider=anthropic | model=claude-sonnet-4-20250514 | elapsed_ms=5214 | schema=SpeakerRoleAssignment
2026-04-17 01:55:27 | INFO    | bristlenose.llm.client | llm_request | provider=anthropic | model=claude-sonnet-4-20250514 | elapsed_ms=4838 | schema=SpeakerRoleAssignment
2026-04-17 01:55:27 | INFO    | bristlenose.llm.client | llm_request | provider=anthropic | model=claude-sonnet-4-20250514 | elapsed_ms=4731 | schema=SpeakerRoleAssignment
2026-04-17 01:55:27 | INFO    | bristlenose.llm.client | llm_request | provider=anthropic | model=claude-sonnet-4-20250514 | elapsed_ms=4810 | schema=SpeakerRoleAssignment
2026-04-17 01:55:32 | INFO    | bristlenose.llm.client | llm_request | provider=anthropic | model=claude-sonnet-4-20250514 | elapsed_ms=4609 | schema=SpeakerRoleAssignment
2026-04-17 01:55:32 | INFO    | bristlenose.llm.client | llm_request | provider=anthropic | model=claude-sonnet-4-20250514 | elapsed_ms=5061 | schema=SpeakerRoleAssignment
2026-04-17 01:55:32 | INFO    | bristlenose.llm.client | llm_request | provider=anthropic | model=claude-sonnet-4-20250514 | elapsed_ms=5275 | schema=SpeakerRoleAssignment
2026-04-17 01:55:37 | INFO    | bristlenose.llm.client | llm_request | provider=anthropic | model=claude-sonnet-4-20250514 | elapsed_ms=4995 | schema=SpeakerRoleAssignment
2026-04-17 01:55:46 | INFO    | bristlenose.llm.client | llm_request | provider=anthropic | model=claude-sonnet-4-20250514 | elapsed_ms=9502 | schema=TopicSegmentationResult
2026-04-17 01:55:48 | INFO    | bristlenose.llm.client | llm_request | provider=anthropic | model=claude-sonnet-4-20250514 | elapsed_ms=11216 | schema=TopicSegmentationResult
2026-04-17 01:55:51 | INFO    | bristlenose.llm.client | llm_request | provider=anthropic | model=claude-sonnet-4-20250514 | elapsed_ms=13596 | schema=TopicSegmentationResult
2026-04-17 01:55:52 | INFO    | bristlenose.llm.client | llm_request | provider=anthropic | model=claude-sonnet-4-20250514 | elapsed_ms=5991 | schema=TopicSegmentationResult
2026-04-17 01:55:57 | INFO    | bristlenose.llm.client | llm_request | provider=anthropic | model=claude-sonnet-4-20250514 | elapsed_ms=6554 | schema=TopicSegmentationResult
2026-04-17 01:56:03 | INFO    | bristlenose.llm.client | llm_request | provider=anthropic | model=claude-sonnet-4-20250514 | elapsed_ms=10799 | schema=TopicSegmentationResult
2026-04-17 01:56:05 | INFO    | bristlenose.llm.client | llm_request | provider=anthropic | model=claude-sonnet-4-20250514 | elapsed_ms=7471 | schema=TopicSegmentationResult
2026-04-17 01:56:07 | INFO    | bristlenose.llm.client | llm_request | provider=anthropic | model=claude-sonnet-4-20250514 | elapsed_ms=18557 | schema=TopicSegmentationResult
2026-04-17 01:56:13 | INFO    | bristlenose.llm.client | llm_request | provider=anthropic | model=claude-sonnet-4-20250514 | elapsed_ms=7988 | schema=TopicSegmentationResult
2026-04-17 01:56:13 | INFO    | bristlenose.llm.client | llm_request | provider=anthropic | model=claude-sonnet-4-20250514 | elapsed_ms=9634 | schema=TopicSegmentationResult
2026-04-17 01:59:52 | INFO    | bristlenose.llm.client | llm_request | provider=anthropic | model=claude-sonnet-4-20250514 | elapsed_ms=219223 | schema=QuoteExtractionResult
2026-04-17 02:00:12 | INFO    | bristlenose.llm.client | llm_request | provider=anthropic | model=claude-sonnet-4-20250514 | elapsed_ms=239494 | schema=QuoteExtractionResult
2026-04-17 02:02:27 | INFO    | bristlenose.llm.client | llm_request | provider=anthropic | model=claude-sonnet-4-20250514 | elapsed_ms=373808 | schema=QuoteExtractionResult
2026-04-17 02:03:29 | INFO    | bristlenose.llm.client | llm_request | provider=anthropic | model=claude-sonnet-4-20250514 | elapsed_ms=62239 | schema=QuoteExtractionResult
2026-04-17 02:07:36 | INFO    | bristlenose.llm.client | llm_request | provider=anthropic | model=claude-sonnet-4-20250514 | elapsed_ms=247217 | schema=QuoteExtractionResult
2026-04-17 02:10:04 | INFO    | bristlenose.llm.client | llm_request | provider=anthropic | model=claude-sonnet-4-20250514 | elapsed_ms=591400 | schema=QuoteExtractionResult
2026-04-17 02:10:23 | INFO    | bristlenose.llm.client | llm_request | provider=anthropic | model=claude-sonnet-4-20250514 | elapsed_ms=166520 | schema=QuoteExtractionResult
2026-04-17 02:11:34 | INFO    | bristlenose.llm.client | llm_request | provider=anthropic | model=claude-sonnet-4-20250514 | elapsed_ms=71267 | schema=QuoteExtractionResult
2026-04-17 02:11:39 | INFO    | bristlenose.llm.client | llm_request | provider=anthropic | model=claude-sonnet-4-20250514 | elapsed_ms=95300 | schema=QuoteExtractionResult
